,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2024-12-14 00:00:00+01:00,464.0,0.0,0.0,14864.0,288.0,28.0,0.0,0.0,0.0,356.0,76.0,1012.0,2640.0,0.0,5108.0,48.0,88.0,44.0,228.0,0.0,1656.0
2024-12-14 00:15:00+01:00,460.0,0.0,0.0,13236.0,288.0,28.0,0.0,0.0,0.0,716.0,76.0,1024.0,3352.0,0.0,5104.0,48.0,80.0,44.0,224.0,0.0,1836.0
2024-12-14 00:30:00+01:00,464.0,0.0,0.0,11972.0,288.0,28.0,0.0,0.0,0.0,1108.0,76.0,1012.0,3592.0,0.0,5104.0,48.0,80.0,44.0,220.0,0.0,1944.0
2024-12-14 00:45:00+01:00,464.0,0.0,0.0,11560.0,288.0,28.0,0.0,0.0,0.0,1080.0,76.0,1008.0,3144.0,0.0,5104.0,48.0,80.0,44.0,216.0,0.0,2080.0
2024-12-14 01:00:00+01:00,468.0,0.0,0.0,11276.0,288.0,28.0,0.0,0.0,0.0,1112.0,76.0,996.0,2660.0,0.0,5104.0,48.0,80.0,44.0,216.0,0.0,2260.0
2024-12-14 01:15:00+01:00,464.0,0.0,0.0,10524.0,288.0,28.0,0.0,0.0,0.0,1232.0,76.0,968.0,3176.0,0.0,5104.0,48.0,80.0,44.0,224.0,0.0,2352.0
2024-12-14 01:30:00+01:00,468.0,0.0,0.0,10256.0,288.0,28.0,0.0,0.0,0.0,1116.0,88.0,980.0,3112.0,0.0,5104.0,48.0,76.0,44.0,220.0,0.0,2360.0
2024-12-14 01:45:00+01:00,468.0,0.0,0.0,10184.0,288.0,28.0,0.0,0.0,0.0,1132.0,108.0,1004.0,2688.0,0.0,5104.0,48.0,80.0,44.0,224.0,0.0,2388.0
2024-12-14 02:00:00+01:00,460.0,0.0,0.0,10156.0,288.0,28.0,0.0,0.0,0.0,1032.0,112.0,996.0,2480.0,0.0,5104.0,48.0,76.0,44.0,224.0,0.0,2468.0
